league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,H,1,0.29,0.3022,0.2847,0.2866,0.288,0.2802,0,515057
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,H,6,0.29,0.3022,0.2847,0.2866,0.288,0.2802,0,515057
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,H,24,0.3,0.3022,0.2847,0.2866,0.288,0.2802,0,515057
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,D,1,0.26,0.2585,0.2528,0.2522,0.2528,0.255,1,107579
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,D,6,0.26,0.2585,0.2528,0.2522,0.2528,0.255,1,107579
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,D,24,0.26,0.2585,0.2528,0.2522,0.2528,0.255,1,107579
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,A,1,0.47,0.4393,0.4625,0.4613,0.4592,0.4648,0,728184
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,A,6,0.46,0.4393,0.4625,0.4613,0.4592,0.4648,0,728184
E0,epl-bou-che-2025-12-06,2025-12-06T15:00:00+00:00,A,24,0.46,0.4393,0.4625,0.4613,0.4592,0.4648,0,728184
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,H,1,0.69,0.6604,0.6791,0.6747,0.6965,0.695,0,1765263
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,H,6,0.69,0.6604,0.6791,0.6747,0.6965,0.695,0,1765263
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,H,24,0.67,0.6604,0.6791,0.6747,0.6965,0.695,0,1765263
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,D,1,0.19,0.1963,0.189,0.1799,0.1862,0.1807,1,392934
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,D,6,0.18,0.1963,0.189,0.1799,0.1862,0.1807,1,392934
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,D,24,0.2,0.1963,0.189,0.1799,0.1862,0.1807,1,392934
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,A,1,0.12,0.1433,0.1319,0.1453,0.1173,0.1242,0,424620
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,A,6,0.14,0.1433,0.1319,0.1453,0.1173,0.1242,0,424620
E0,epl-mun-wes-2025-12-04,2025-12-04T20:00:00+00:00,A,24,0.14,0.1433,0.1319,0.1453,0.1173,0.1242,0,424620
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,H,1,0.75,0.7424,0.7289,0.7282,0.7272,0.7402,1,659755
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,H,6,0.76,0.7424,0.7289,0.7282,0.7272,0.7402,1,659755
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,H,24,0.77,0.7424,0.7289,0.7282,0.7272,0.7402,1,659755
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,D,1,0.17,0.1661,0.1714,0.1721,0.1682,0.1653,0,10643
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,D,6,0.17,0.1661,0.1714,0.1721,0.1682,0.1653,0,10643
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,D,24,0.16,0.1661,0.1714,0.1721,0.1682,0.1653,0,10643
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,A,1,0.09,0.0915,0.0997,0.0997,0.1046,0.0945,0,64605
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,A,6,0.08,0.0915,0.0997,0.0997,0.1046,0.0945,0,64605
E0,epl-new-bur-2025-12-06,2025-12-06T15:00:00+00:00,A,24,0.09,0.0915,0.0997,0.0997,0.1046,0.0945,0,64605
E0,epl-ast-ars-2025-12-06,2025-12-06T12:30:00+00:00,H,1,0.22,0.2294,0.227,0.2267,0.2173,0.2121,1,727969
E0,epl-ast-ars-2025-12-06,2025-12-06T12:30:00+00:00,H,6,0.22,0.2294,0.227,0.2267,0.2173,0.2121,1,727969
E0,epl-ast-ars-2025-12-06,2025-12-06T12:30:00+00:00,H,24,0.22,0.2294,0.227,0.2267,0.2173,0.2121,1,727969
