league,slug,ticker,kickoff,side,horizon_h,pm_price,k_bid,k_ask,k_mid,outcome
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-VCF,2026-09-20T19:00:00+00:00,H,1,0.35,0.34,0.35,0.345,0
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-VCF,2026-09-20T19:00:00+00:00,H,6,0.33,0.33,0.34,0.335,0
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-VCF,2026-09-20T19:00:00+00:00,H,24,0.35,0.34,0.35,0.345,0
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-TIE,2026-09-20T19:00:00+00:00,D,1,0.28,0.28,0.29,0.285,0
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-TIE,2026-09-20T19:00:00+00:00,D,6,0.29,0.28,0.29,0.285,0
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-TIE,2026-09-20T19:00:00+00:00,D,24,0.28,0.28,0.29,0.285,0
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-RSO,2026-09-20T19:00:00+00:00,A,1,0.36,0.36,0.37,0.365,1
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-RSO,2026-09-20T19:00:00+00:00,A,6,0.38,0.37,0.38,0.375,1
SP1,lal-val-rso-2026-09-20,KXLALIGAGAME-26SEP20VCFRSO-RSO,2026-09-20T19:00:00+00:00,A,24,0.37,0.36,0.38,0.37,1
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-VIL,2026-09-20T16:30:00+00:00,H,1,0.62,0.63,0.64,0.635,1
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-VIL,2026-09-20T16:30:00+00:00,H,6,0.65,0.64,0.65,0.645,1
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-VIL,2026-09-20T16:30:00+00:00,H,24,0.65,0.64,0.65,0.645,1
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-TIE,2026-09-20T16:30:00+00:00,D,1,0.21,0.19,0.2,0.195,0
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-TIE,2026-09-20T16:30:00+00:00,D,6,0.19,0.19,0.2,0.195,0
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-TIE,2026-09-20T16:30:00+00:00,D,24,0.2,0.19,0.2,0.195,0
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-LEV,2026-09-20T16:30:00+00:00,A,1,0.17,0.16,0.17,0.165,0
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-LEV,2026-09-20T16:30:00+00:00,A,6,0.15,0.16,0.17,0.165,0
SP1,lal-vil-lev-2026-09-20,KXLALIGAGAME-26SEP20VILLEV-LEV,2026-09-20T16:30:00+00:00,A,24,0.16,0.15,0.16,0.155,0
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-DEP,2026-09-20T16:30:00+00:00,H,1,0.26,0.26,0.27,0.265,0
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-DEP,2026-09-20T16:30:00+00:00,H,6,0.26,0.25,0.27,0.26,0
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-DEP,2026-09-20T16:30:00+00:00,H,24,0.27,0.26,0.27,0.265,0
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-TIE,2026-09-20T16:30:00+00:00,D,1,0.25,0.25,0.26,0.255,1
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-TIE,2026-09-20T16:30:00+00:00,D,6,0.25,0.25,0.26,0.255,1
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-TIE,2026-09-20T16:30:00+00:00,D,24,0.26,0.25,0.26,0.255,1
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-RBB,2026-09-20T16:30:00+00:00,A,1,0.49,0.48,0.49,0.485,0
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-RBB,2026-09-20T16:30:00+00:00,A,6,0.49,0.48,0.49,0.485,0
SP1,lal-dep-bet-2026-09-20,KXLALIGAGAME-26SEP20DEPRBB-RBB,2026-09-20T16:30:00+00:00,A,24,0.47,0.47,0.48,0.475,0
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-ATM,2026-09-20T14:15:00+00:00,H,1,0.28,0.27,0.28,0.275,1
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-ATM,2026-09-20T14:15:00+00:00,H,6,0.28,0.27,0.29,0.28,1
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-ATM,2026-09-20T14:15:00+00:00,H,24,0.27,0.26,0.27,0.265,1
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-TIE,2026-09-20T14:15:00+00:00,D,1,0.26,0.24,0.25,0.245,0
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-TIE,2026-09-20T14:15:00+00:00,D,6,0.26,0.24,0.26,0.25,0
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-TIE,2026-09-20T14:15:00+00:00,D,24,0.24,0.23,0.24,0.235,0
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-RMA,2026-09-20T14:15:00+00:00,A,1,0.48,0.48,0.49,0.485,0
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-RMA,2026-09-20T14:15:00+00:00,A,6,0.47,0.47,0.48,0.475,0
SP1,lal-mad-rea-2026-09-20,KXLALIGAGAME-26SEP20ATMRMA-RMA,2026-09-20T14:15:00+00:00,A,24,0.5,0.49,0.5,0.495,0
