event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
mlb-lad-atl-2026-08-27,sports,1787868900.0,1788477300.0,0.485,0.485,0
will-the-los-angeles-dodgers-win-the-2025-world-series,sports,1761908400.0,1761912000.0,0.315,0.315,1
will-the-toronto-blue-jays-win-the-2025-world-series,sports,1761908400.0,1761912000.0,0.678,0.678,0
mlb-col-wsh-2026-08-27,sports,1787846700.0,1788455100.0,0.435,0.435,0
will-novak-djokovic-win-the-2026-australian-open,sports,1769900400.0,1769904000.0,0.267,0.267,0
mlb-ari-sf-2026-08-27,sports,1787877900.0,1788486300.0,0.525,0.525,0
battle-of-the-sexes-aryna-sabalenka-vs-nick-kyrgios,sports,1766876400.0,1766880000.0,0.185,0.185,0
will-carlos-alcaraz-win-the-2026-australian-open,sports,1769900400.0,1769904000.0,0.732,0.732,1
will-alexander-zverev-win-the-2026-mens-french-open,sports,1780786800.0,1780790400.0,0.7795,0.7795,1
mlb-bal-stl-2026-08-27,sports,1787850900.0,1788459300.0,0.545,0.545,0
will-grigor-dimitrov-win-the-2026-australian-open,sports,1769900400.0,1769904000.0,0.0005,0.0005,0
will-novak-djokovic-be-the-2026-mens-wimbledon-winner,sports,1783810800.0,1783814400.0,0.0005,0.0005,0
mlb-tb-bos-2026-05-09,sports,1784306100.0,1778962200.0,0.555,0.555,0
will-jannik-sinner-win-the-2026-australian-open,sports,1769900400.0,1769904000.0,0.0005,0.0005,0
mlb-nyy-bal-2026-08-20,sports,1787261700.0,1787870100.0,0.515,0.515,1
mlb-cin-nyy-2026-06-19-spread-home-1pt5,sports,1781906700.0,1781910300.0,0.555,0.555,1
will-flavio-cobolli-win-the-2026-mens-french-open,sports,1780786800.0,1780790400.0,0.223,0.223,0
mlb-lad-atl-2026-08-26,sports,1787782500.0,1788390900.0,0.545,0.545,0
mlb-phi-mil-2026-06-12-spread-home-1pt5,sports,1781304000.0,1781307600.0,0.515,0.515,1
will-alexander-zverev-win-the-2026-australian-open,sports,1769900400.0,1769904000.0,0.0005,0.0005,0
will-alexander-zverev-be-the-2026-mens-wimbledon-winner,sports,1783810800.0,1783814400.0,0.189,0.189,0
atp-fritz-minaur-2025-11-09,sports,1763035200.0,1763283600.0,0.715,0.715,0
mlb-mil-sd-2026-08-12,sports,1786561800.0,1787170200.0,0.515,0.515,0
mlb-kc-lad-2026-08-11,sports,1786497000.0,1787105400.0,0.285,0.285,0
mlb-ari-stl-2026-06-25,sports,1784837700.0,1783035900.0,0.54,0.54,1
mlb-bos-nyy-2026-06-06,sports,1788019500.0,1788627900.0,0.495,0.495,1
mlb-stl-cin-2026-05-24,sports,1786984800.0,1787593200.0,0.505,0.505,1
mlb-mil-stl-2026-05-05,sports,1783444500.0,1778629500.0,0.6,0.6,1
mlb-atl-cws-2026-06-11,sports,1787245800.0,1787854200.0,0.505,0.505,1
mlb-sd-pit-2026-04-06-total-8pt5,sports,1775511600.0,1775515200.0,0.485,0.485,0
mlb-kc-cle-2026-04-07-total-6pt5,sports,1775596200.0,1775599800.0,0.0005,0.0005,0
enl-eas-tam-2026-04-18-eas,sports,1776517200.0,1776520800.0,0.415,0.415,0
will-jannik-sinner-be-the-2026-mens-wimbledon-winner,sports,1783810800.0,1783814400.0,0.815,0.815,1
mlb-bos-sea-2026-06-21-total-6pt5,sports,1782069000.0,1782072600.0,0.535,0.535,0
mlb-bos-tor-2026-08-12,sports,1786572420.0,1787180820.0,0.545,0.545,0
mlb-lad-col-2026-08-19,sports,1787182800.0,1787791200.0,0.645,0.645,1
will-jakub-mensik-win-the-2026-mens-french-open,sports,1780786800.0,1780790400.0,0.0005,0.0005,0
mlb-min-oak-2026-08-26,sports,1787789100.0,1788397500.0,0.555,0.555,0
mlb-chc-wsh-2026-08-13,sports,1786647900.0,1787256300.0,0.575,0.575,0
mlb-ari-bal-2026-04-14-total-8pt5,sports,1776202500.0,1776206100.0,0.525,0.525,0
mlb-mil-lad-2026-08-13,sports,1786669800.0,1787278200.0,0.435,0.435,1
mlb-bal-oak-2026-08-28,sports,1787964000.0,1788572400.0,0.515,0.515,1
atp-sinner-shelton-2025-11-09,sports,1763122200.0,1763283600.0,0.915,0.915,1
mlb-sea-nyy-2026-08-13,sports,1786638900.0,1787247300.0,0.405,0.405,1
mlb-mia-phi-2026-06-15-spread-home-1pt5,sports,1781559600.0,1781563200.0,0.475,0.475,1
will-arthur-fery-be-the-2026-mens-wimbledon-winner,sports,1783810800.0,1783814400.0,0.0005,0.0005,0
fpd-her-ala-2026-08-09-ala,sports,1786316400.0,1786320000.0,0.275,0.275,1
fpd-pun-per-2026-08-21-pun,sports,1787356800.0,1787360400.0,0.515,0.515,1
fpd-car-spo-2026-08-07-total-2pt5,sports,1786150800.0,1786154400.0,0.425,0.425,1
fpd-spo-int-2026-08-28-total-2pt5,sports,1787965200.0,1787968800.0,0.535,0.535,0
fpd-her-ala-2026-08-09-exact-score-3-3,sports,1786316400.0,1786320000.0,0.0195,0.0195,0
fpd-sca-her-2026-08-14-sca,sports,1786755600.0,1786759200.0,0.325,0.325,1
fpd-sap-car-2026-08-15-car,sports,1786842000.0,1786845600.0,0.145,0.145,0
fpd-her-ala-2026-08-09-exact-score-2-3,sports,1786316400.0,1786320000.0,0.019,0.019,0
fpd-sca-per-2026-04-26-sca,sports,1777075200.0,1777237200.0,0.45,0.45,0
fpd-sca-her-2026-08-14-total-2pt5,sports,1786755600.0,1786759200.0,0.425,0.425,0
fpd-sap-car-2026-08-15-sap,sports,1786842000.0,1786845600.0,0.59,0.59,1
fpd-esc-per-2026-08-08-esc,sports,1786230000.0,1786233600.0,0.5,0.5,0
fpd-per-ala-2026-08-29-ala,sports,1788051600.0,1788055200.0,0.515,0.515,0
fpd-esc-car-2026-08-22-car,sports,1787436000.0,1787439600.0,0.415,0.415,1
fpd-lib-car-2026-04-19-lib,sports,1776474000.0,1776632400.0,0.395,0.395,1
fpd-car-spo-2026-08-07-total-0pt5,sports,1786150800.0,1786154400.0,0.91,0.91,1
fpd-spo-int-2026-08-28-spread-home-1pt5,sports,1787965200.0,1787968800.0,0.34,0.34,1
fpd-spo-ala-2026-04-12-ala,sports,1775955600.0,1776027600.0,0.355,0.355,1
fpd-pun-per-2026-08-21-per,sports,1787356800.0,1787360400.0,0.23,0.23,0
fpd-sap-car-2026-08-15-total-2pt5,sports,1786842000.0,1786845600.0,0.495,0.495,1
fpd-car-spo-2026-08-07-draw,sports,1786150800.0,1786154400.0,0.285,0.285,0
fpd-sca-her-2026-08-14-her,sports,1786755600.0,1786759200.0,0.375,0.375,0
fpd-car-her-2026-04-12-her,sports,1775869200.0,1776027600.0,0.34,0.34,1
