event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
KXHIGHAUS-26SEP15-B100.5,weather,1789528017,1789659976,0.0050,0.0387,0
KXHIGHAUS-26SEP15-B102.5,weather,1789528017,1789659976,0.9950,0.0111,1
KXHIGHAUS-26SEP15-B104.5,weather,1789528017,1789659976,0.0050,0.0092,0
KXHIGHAUS-26SEP15-B98.5,weather,1789528017,1789659976,0.0050,0.0978,0
KXHIGHAUS-26SEP15-T105,weather,1789528017,1789659977,0.0050,0.0037,0
KXHIGHAUS-26SEP15-T98,weather,1789528017,1789659977,0.0050,0.8469,0
KXHIGHAUS-26SEP16-B100.5,weather,1789528017,1789659977,0.5750,0.0406,0
KXHIGHAUS-26SEP16-B102.5,weather,1789528017,1789659977,0.1150,0.0074,0
KXHIGHAUS-26SEP16-B96.5,weather,1789528017,1789659977,0.0150,0.1255,0
KXHIGHAUS-26SEP16-B98.5,weather,1789528017,1789659977,0.3350,0.1033,1
KXHIGHAUS-26SEP16-T103,weather,1789528017,1789659977,0.0050,0.0092,0
KXHIGHAUS-26SEP16-T96,weather,1789528017,1789659977,0.0050,0.7214,0
KXHIGHAUS-26SEP17-B101.5,weather,1789659975,1789711200,0.0350,0.0240,
KXHIGHAUS-26SEP17-B95.5,weather,1789659975,1789711200,0.1350,0.1162,
KXHIGHAUS-26SEP17-B97.5,weather,1789659975,1789711200,0.5900,0.1162,
KXHIGHAUS-26SEP17-B99.5,weather,1789659975,1789711200,0.2200,0.0683,
KXHIGHAUS-26SEP17-T102,weather,1789659975,1789711200,0.0050,0.0111,
KXHIGHAUS-26SEP17-T95,weather,1789659975,1789711200,0.0350,0.6716,
KXHIGHAUS-26SEP18-B100.5,weather,1789659975,1789797600,0.3000,0.0369,
KXHIGHAUS-26SEP18-B102.5,weather,1789659975,1789797600,0.0350,0.0092,
KXHIGHAUS-26SEP18-B96.5,weather,1789659975,1789797600,0.0650,0.1144,
KXHIGHAUS-26SEP18-B98.5,weather,1789659975,1789797600,0.4850,0.0996,
KXHIGHAUS-26SEP18-T103,weather,1789659975,1789797600,0.0050,0.0111,
KXHIGHAUS-26SEP18-T96,weather,1789659975,1789797600,0.0400,0.7362,
KXHIGHCHI-26SEP15-B80.5,weather,1789528017,1789659977,0.0050,0.0756,0
KXHIGHCHI-26SEP15-B82.5,weather,1789528017,1789659977,0.0050,0.1070,0
KXHIGHCHI-26SEP15-B84.5,weather,1789528017,1789659977,0.9950,0.0701,1
KXHIGHCHI-26SEP15-B86.5,weather,1789528017,1789659977,0.0050,0.0480,0
KXHIGHCHI-26SEP15-T80,weather,1789528017,1789659977,0.0050,0.6218,0
KXHIGHCHI-26SEP15-T87,weather,1789528017,1789659978,0.0050,0.0849,0
KXHIGHCHI-26SEP16-B71.5,weather,1789528017,1789659978,0.1350,0.0830,0
KXHIGHCHI-26SEP16-B73.5,weather,1789528017,1789659978,0.4050,0.0867,0
KXHIGHCHI-26SEP16-B75.5,weather,1789528017,1789659978,0.3050,0.0535,1
KXHIGHCHI-26SEP16-B77.5,weather,1789528017,1789659978,0.1150,0.1033,0
KXHIGHCHI-26SEP16-T71,weather,1789528017,1789659978,0.0250,0.2768,0
KXHIGHCHI-26SEP16-T78,weather,1789528017,1789659978,0.0650,0.4041,0
KXHIGHCHI-26SEP17-B74.5,weather,1789659975,1789711200,0.1350,0.0701,
KXHIGHCHI-26SEP17-B76.5,weather,1789659975,1789711200,0.4450,0.0812,
KXHIGHCHI-26SEP17-B78.5,weather,1789659975,1789711200,0.2750,0.0849,
KXHIGHCHI-26SEP17-B80.5,weather,1789659975,1789711200,0.0650,0.0738,
KXHIGHCHI-26SEP17-T74,weather,1789659975,1789711200,0.0350,0.4151,
KXHIGHCHI-26SEP17-T81,weather,1789659975,1789711200,0.0150,0.2823,
KXHIGHCHI-26SEP18-B70.5,weather,1789659975,1789797600,0.1350,0.0812,
KXHIGHCHI-26SEP18-B72.5,weather,1789659975,1789797600,0.3350,0.0738,
KXHIGHCHI-26SEP18-B74.5,weather,1789659975,1789797600,0.3450,0.0720,
KXHIGHCHI-26SEP18-B76.5,weather,1789659975,1789797600,0.1050,0.0793,
KXHIGHCHI-26SEP18-T70,weather,1789659975,1789797600,0.0150,0.2786,
KXHIGHCHI-26SEP18-T77,weather,1789659975,1789797600,0.0150,0.4225,
KXHIGHDEN-26SEP15-B70.5,weather,1789528017,1789659978,0.9950,0.0442,1
KXHIGHDEN-26SEP15-B72.5,weather,1789528017,1789659978,0.0050,0.0442,0
KXHIGHDEN-26SEP15-B74.5,weather,1789528017,1789659978,0.0050,0.0487,0
KXHIGHDEN-26SEP15-B76.5,weather,1789528017,1789659978,0.0050,0.0575,0
KXHIGHDEN-26SEP15-T70,weather,1789528017,1789659978,0.0050,0.1460,0
KXHIGHDEN-26SEP15-T77,weather,1789528017,1789659978,0.0050,0.6681,0
KXHIGHDEN-26SEP16-B79.5,weather,1789528017,1789659978,0.0500,0.0863,0
KXHIGHDEN-26SEP16-B81.5,weather,1789528017,1789659979,0.2050,0.0951,0
